,mouse_name,session_date,pm
0,ZFM-03448,2022-08-04,0.64
1,ZFM-03448,2022-08-03,0.78
2,ZFM-03448,2022-08-02,0.76
3,ZFM-03448,2022-07-29,0.81
4,ZFM-03448,2022-07-28,0.79
5,ZFM-03448,2022-07-27,0.71
6,ZFM-03448,2022-07-26,0.72
7,ZFM-03448,2022-07-25,0.67
8,ZFM-03448,2022-07-22,0.72
9,ZFM-03448,2022-07-21,0.73
10,ZFM-03448,2022-07-20,0.73
11,ZFM-03448,2022-07-19,0.81
12,ZFM-03448,2022-07-18,0.77
13,ZFM-03448,2022-07-15,0.82
14,ZFM-03448,2022-07-14,0.7
15,ZFM-03448,2022-07-13,0.87
16,ZFM-03448,2022-07-08,0.53
17,ZFM-03448,2022-07-07,0.49
18,ZFM-03448,2022-07-06,0.6
19,ZFM-03448,2022-07-05,0.66
20,ZFM-03448,2022-07-04,0.58
21,ZFM-03448,2022-06-30,0.76
22,ZFM-03448,2022-06-29,0.79
23,ZFM-03448,2022-06-28,0.56
24,ZFM-03448,2022-06-27,0.43
25,ZFM-03448,2022-06-24,0.82
26,ZFM-03448,2022-06-23,0.59
27,ZFM-03448,2022-06-21,0.57
28,ZFM-03448,2022-06-10,0.79
29,ZFM-03448,2022-06-09,0.63
30,ZFM-03448,2022-05-31,0.63
31,ZFM-03448,2022-05-30,0.74
32,ZFM-03448,2022-05-26,0.69
33,ZFM-03448,2022-04-21,0.77
34,ZFM-03448,2022-04-20,0.71
35,ZFM-03448,2022-04-08,0.66
36,ZFM-03448,2022-04-06,0.6
37,ZFM-03448,2022-04-05,0.58
38,ZFM-03448,2022-04-04,0.63
39,ZFM-03448,2022-04-01,0.57
40,ZFM-03448,2022-03-31,0.58
41,ZFM-03448,2022-03-30,0.68
42,ZFM-03448,2022-03-29,0.48
43,ZFM-03448,2022-03-28,0.62
44,ZFM-03448,2022-03-25,0.69
45,ZFM-03448,2022-03-24,0.57
46,ZFM-03448,2022-03-23,0.67
47,ZFM-03448,2022-03-22,0.64
48,ZFM-03448,2022-03-21,0.64
49,ZFM-03448,2022-03-18,0.55
50,ZFM-03448,2022-02-25,0.65
51,ZFM-03448,2022-01-28,0.67
52,ZFM-03448,2022-01-26,0.56
53,ZFM-03448,2022-01-25,0.55
54,ZFM-03448,2022-01-25,0.61
55,ZFM-03448,2022-01-24,0.57
56,ZFM-03448,2022-01-24,0.69
57,ZFM-03448,2022-01-21,0.69
58,ZFM-03448,2022-01-20,0.67
59,ZFM-03448,2022-01-17,0.6
60,ZFM-03448,2022-01-14,0.53
61,ZFM-03448,2022-01-13,0.6
62,ZFM-03448,2022-01-13,0.71
63,ZFM-03448,2022-01-12,0.61
64,ZFM-03448,2022-01-11,0.59
65,ZFM-03448,2022-01-07,0.65
66,ZFM-03448,2022-01-06,0.66
67,ZFM-03448,2022-01-05,0.65
68,ZFM-03448,2022-01-04,0.64
69,ZFM-03448,2022-01-03,0.47
70,ZFM-03448,2021-12-22,0.67
71,ZFM-03448,2021-12-16,0.65
72,ZFM-03448,2021-12-15,0.67
73,ZFM-03448,2021-12-14,0.6
74,ZFM-03448,2021-12-14,0.6
75,ZFM-03448,2021-12-13,0.6
76,ZFM-03448,2021-12-10,0.55
77,ZFM-03448,2021-12-09,0.5
78,ZFM-03448,2021-12-07,0.63
79,ZFM-03448,2021-12-06,0.57
80,ZFM-03448,2021-12-03,0.57
81,ZFM-03448,2021-12-02,0.49
82,ZFM-03448,2021-11-30,0.59
83,ZFM-03448,2021-11-29,0.57
84,ZFM-03448,2021-11-27,0.52
85,ZFM-03448,2021-11-26,0.56
86,ZFM-03448,2021-11-25,0.53
87,ZFM-03448,2021-11-24,0.54
88,ZFM-03448,2021-11-22,0.54
89,ZFM-03448,2021-11-21,0.5
90,ZFM-03448,2021-11-20,0.54
91,ZFM-03448,2021-11-20,0.43
92,ZFM-03448,2021-11-19,0.45
93,ZFM-03448,2021-11-18,0.42
94,ZFM-03448,2021-11-13,0.5
95,ZFM-03448,2021-11-12,0.5
96,ZFM-03448,2021-11-11,0.5
97,ZFM-03448,2021-11-11,0.43
98,ZFM-03448,2021-11-10,0.49
99,ZFM-03448,2021-11-08,0.46
100,ZFM-03448,2021-11-07,0.43
101,ZFM-03448,2021-11-06,0.47
